,RMSE,method,n_epochs,reg_i,reg_u
6,0.9445678338946112,als,5,20,10
15,0.9445682895331909,als,10,20,10
24,0.9445682909792908,als,20,20,10
3,0.9447715965758562,als,5,10,10
12,0.9447723051756257,als,10,10,10
21,0.9447723084900858,als,20,10,10
0,0.945056526300302,als,5,5,10
9,0.9450574184882355,als,10,5,10
18,0.9450574236164891,als,20,5,10
7,0.9555903382778679,als,5,20,15
16,0.9555904623056701,als,10,20,15
25,0.9555904624117364,als,20,20,15
4,0.9558068206443723,als,5,10,15
13,0.955807011759679,als,10,10,15
22,0.9558070120002645,als,20,10,15
1,0.9560927484478755,als,5,5,15
10,0.9560929877297447,als,10,5,15
19,0.9560929880995862,als,20,5,15
8,0.9634742571530927,als,5,20,20
17,0.9634743010896013,als,10,20,20
26,0.9634743011029987,als,20,20,20
5,0.963697227292295,als,5,10,20
14,0.9636972945578552,als,10,10,20
23,0.9636972945880409,als,20,10,20
2,0.9639831794274866,als,5,5,20
11,0.9639832633113125,als,10,5,20
20,0.9639832633575228,als,20,5,20
